Matrix Size,Processes,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,4.25939,3.50911,0.75028
5000,2,2.63592,1.79131,0.84462
5000,4,1.83949,0.94096,0.89853
5000,8,1.58720,0.56667,1.02053
5000,16,1.29040,0.35987,0.93053
5000,32,1.44092,0.25446,1.18646
5000,64,2.33700,0.18605,2.15094
5000,128,3.95846,0.17530,3.78316
10000,1,17.02087,14.15953,2.86134
10000,2,10.17644,7.18494,2.99150
10000,4,7.06123,3.77472,3.28652
10000,8,5.48948,2.17658,3.31290
10000,16,4.65123,1.35876,3.29247
10000,32,4.89544,0.92944,3.96599
10000,64,5.17293,0.64905,4.52388
10000,128,5.40365,0.57250,4.83115
20000,1,N/A,N/A,N/A
20000,2,40.47526,28.79173,11.68353
20000,4,27.36737,15.15010,12.21727
20000,8,20.75348,8.69985,12.05364
20000,16,17.02896,5.36652,11.66243
20000,32,15.44144,3.60114,11.84031
20000,64,15.53920,2.44653,13.09268
20000,128,16.59380,2.02088,14.57292
40000,1,N/A,N/A,N/A
40000,2,N/A,N/A,N/A
40000,4,N/A,N/A,N/A
40000,8,81.74097,35.81771,45.92326
40000,16,65.31802,22.02461,43.29342
40000,32,59.76797,14.76752,45.00046
40000,64,57.46089,9.89132,47.56957
40000,128,60.31043,7.92590,52.38454
