Matrix Size ,Processes ,OMP Threads ,Time Overall (s) ,Time Computation (s) ,Time Other (s)
       5000 ,        1 ,          1 ,         3.80072 ,             3.08442 ,       0.71630
       5000 ,        1 ,          2 ,         2.38459 ,             1.65656 ,       0.72803
       5000 ,        1 ,          4 ,         2.43973 ,             1.71210 ,       0.72763
       5000 ,        2 ,          1 ,         2.48924 ,             1.70869 ,       0.78056
       5000 ,        2 ,          2 ,         1.81154 ,             1.03730 ,       0.77424
       5000 ,        2 ,          4 ,         1.83191 ,             1.03424 ,       0.79767
       5000 ,        4 ,          1 ,         1.89591 ,             1.04566 ,       0.85025
       5000 ,        4 ,          2 ,         1.71536 ,             0.78360 ,       0.93176
       5000 ,        4 ,          4 ,         1.69828 ,             0.83909 ,       0.85919
      10000 ,        1 ,          1 ,        17.78965 ,            13.91345 ,       3.87620
      10000 ,        1 ,          2 ,        10.70858 ,             6.45794 ,       4.25064
      10000 ,        1 ,          4 ,        10.70092 ,             6.52425 ,       4.17668
      10000 ,        2 ,          1 ,        11.13711 ,             6.82362 ,       4.31348
      10000 ,        2 ,          2 ,         8.44568 ,             3.88990 ,       4.55578
      10000 ,        2 ,          4 ,        10.59084 ,             4.65251 ,       5.93833
      10000 ,        4 ,          1 ,        12.25213 ,             5.51178 ,       6.74034
      10000 ,        4 ,          2 ,         8.97170 ,             4.43425 ,       4.53745
      10000 ,        4 ,          4 ,         7.62516 ,             3.58774 ,       4.03742
      20000 ,        1 ,          1 ,        77.55073 ,            59.53223 ,      18.01850
      20000 ,        1 ,          2 ,        46.55447 ,            27.15746 ,      19.39701
      20000 ,        1 ,          4 ,        45.11835 ,            27.78697 ,      17.33138
      20000 ,        2 ,          1 ,        51.85988 ,            28.70237 ,      23.15751
      20000 ,        2 ,          2 ,        34.76369 ,            17.70528 ,      17.05841
      20000 ,        2 ,          4 ,        38.84697 ,            18.11483 ,      20.73214
      20000 ,        4 ,          1 ,        35.98555 ,            19.03357 ,      16.95198
      20000 ,        4 ,          2 ,        32.13961 ,            14.50820 ,      17.63141
      20000 ,        4 ,          4 ,        32.87505 ,            13.08009 ,      19.79496
