Matrix Size ,Processes ,Time Overall (s) ,Time Computation (s) ,Time Other (s)
       5000 ,        1 ,         4.24849 ,             3.49442 ,       0.75407
       5000 ,        2 ,         2.58072 ,             1.77619 ,       0.80453
       5000 ,        4 ,         1.81608 ,             0.93807 ,       0.87801
      10000 ,        1 ,        16.74889 ,            13.97661 ,       2.77228
      10000 ,        2 ,        10.08500 ,             7.09609 ,       2.98891
      10000 ,        4 ,         6.78843 ,             3.73316 ,       3.05527
      20000 ,        1 ,        66.78274 ,            56.41878 ,      10.36396
      20000 ,        2 ,        39.60426 ,            28.48451 ,      11.11974
      20000 ,        4 ,        26.45682 ,            15.00408 ,      11.45274
